,,,,,,,,,
,,,Rivian R2 Reservations Tracker Form  <-- Link to submit your order info.                        ,,,,,,
,,,"* After submitting order info, please post a reply in this thread to notify us.",,,,,,
,,,Rivian R2 Reservations Change Request Form  <-- Link to submit edit request for your submitted order info.,,,,,,
,,,,,,,,,
,#,Username,R2 reservation date,Location,,Are you a current Rivian R1 owner?,"If you are a current R1 owner, will you be keeping your R1 and adding an R2?","If you are a current R1 owner, which model?",Other vehicles currently owned
,121,Joints4Sale,3/7/2024,MD,,Yes,Yes,R1S,"Ram 2500 CTD, Audi e-Tron GT"
,122,MRK_717,3/7/2024,CA,,Yes,Undecided,R1S,None
,123,Brunor,3/7/2024,Canada - Quebec,,Yes,Yes,R1T,Tesla Model 3
,124,Deacon,3/7/2024,NC,,Yes,Yes,R1T,Suburu Forrester
,125,Addison1060,3/7/2024,OR,,Yes,Yes,R1S,
,126,jnewkirk,6/3/2024,WA,,No,,,2021 Ford Bronco
,127,mkhuffman,3/7/2024,VA,,No,,,"Mustang Mach-e GT, Jeep Grand Cherokee L Summit Reserve, VW Jetta"
,128,mikehaas763,3/7/2024,FL,,Yes,Yes,R1T,
,129,CASEYH,3/7/2024,AZ,,No,,,"Model Y, Polestar 2"
,130,Honey,3/7/2024,CA,,Yes,Yes,R1S,
,131,Gregtay,3/7/2024,AZ,,Yes,Yes,R1S,Escalade
,132,theyoungone,3/7/2024,AL,,No,,,Toyota RAV4 Hybrid
,133,Webleyaz,3/7/2024,NV,,Yes,Yes,R1T,Lots
,134,AA_Rivian_Socal,3/7/2024,CA,,Yes,Undecided,R1T,"Chevrolet Bolt, Toyota 4runner"
,135,Bonksnp,3/7/2024,TX,,No,,,Volvo XC90
,136,COdogman,3/7/2024,CO,,Yes,No,R1T,
,137,Giovanni46,2/7/2022,MA,,Yes,Yes,R1T,VW Touareg
,138,R2nAZ,3/7/2024,AZ,,No,,,Toyota Highlander; Volkswagen GTI
,139,lmr,3/7/2024,OR,,Yes,No,R1S,Toyota Corolla Cross Hybrid
,140,daddyslilgrandpa,3/7/2024,NJ,,Yes,Yes,R1S,Tesla model 3
,141,Romano,3/7/2024,NY,,No,,,"Ram 1500, Subaru Crosstrek"
,142,JPM-847,3/7/2024,NJ,,No,,,Subaru Forester
,143,eaa56,3/7/2024,AZ,,Yes,Undecided,R1T,"Audi etron, Rivian R1T"
,144,SparkyR1t,3/7/2024,IL,,Yes,Yes,R1T,Model Y
,145,bael,3/7/2024,GA,,Yes,Undecided,R1T,
,146,beckhome09,3/7/2024,CA,,Yes,Yes,R1T,"2018 Jeep Wrangler, 2021 BMW X3 Hybrid"
,147,eegalex,3/7/2024,Canada - Ontario,,No,,,2020 Mazda CX-30 GT
,148,Chewy734,3/7/2024,CA,,Yes,Yes,R1S,"BMW 330i, Ford Taurus"
,149,Jsidell,3/7/2024,TX,,No,Undecided,,Jeep Wrangler
,150,VermontR1T,3/7/2024,VT,,Yes,Yes,R1T,BMW Q7
,151,Bullwink181,3/7/2024,NC,,Yes,Yes,R1S,Tesla Model Y (will replace this with R2)
,152,OverEasyGoing,3/7/2024,CA,,Yes,Yes,R1S,"Jeep Wrangler, International Scout"
,153,freejack,3/7/2024,NY,,Yes,Yes,R1S,MYP
,154,GreenOptimist,3/7/2024,CA,,Yes,Yes,R1S,ID4
,155,TBL,3/7/2024,TN,,Yes,Undecided,R1S,
,156,kylealden,3/7/2024,WA,,Yes,Yes,R1T,Tesla Model Y
,157,AdamEk,3/7/2024,NH,,No,,,Ford Escape Hybrid & Nissan Leaf
,158, sharharsh,3/7/2024,WA,,No,,,"Honds Odyssey, Lexus Rx350"
,159,NY_ROB,3/7/2024,NY,,Yes,No,R1T,"Model 3, BMW i3"
,160,Emmett Stone,3/7/2024,FL,,Yes,Yes,R1T,Toyota RAV4 Prime PHEV
,161,Ilovejunebugs,3/7/2024,WI,,Yes,Undecided,R1T,F150 Lightning
,162,Giovanni46,3/7/2024,MA,,Yes,Yes,R1T,VW Touareg
,163,Harvest,3/7/2024,MO,,Yes,Yes,R1T,Honda Pilot
,164,909PHILLYMAN,3/7/2024,CA,,Yes,Yes,R1S,
,165,Mobius1,3/7/2024,CA,,Yes,Yes,R1S,Tesla Model Y & Ford Fusion Energi
,166,shaunc869,3/7/2024,OR,,Yes,Undecided,R1S,
,167,ForestGreen,3/7/2024,WA,,No,,,Tesla Model Y
,168,Adamn,3/7/2024,CO,,Yes,Undecided,R1T,Rav4
,169,abinesh81,7/3/2024,PA,,Yes,Yes,R1S,R1S
,170, @N!M@L!@,3/7/2024,OR,,Yes,Yes,R1S,
,171,Baymax,3/7/2024,ID,,Yes,Yes,R1S,
,172,agreg23,3/7/2024,VA,,Yes,Undecided,R1T,Subaru Forrester
,173,Boltowner,3/7/2024,GA,,Yes,Yes,R1T,Bolt EUV
,174,Bwatling,3/7/2024,NC,,Yes,Undecided,R1T,Tesla Model Y
,175,Biturbowned,3/7/2024,MD,,Yes,Yes,R1T,Model Y
,176,Guy,3/7/2024,PA,,Yes,Undecided,R1T,
,177,clippertee,3/7/2024,TX,,No,,,"Ford Lightning, Tesla Mod 3"
,178,mandarin,3/7/2024,TX,,Yes,Undecided,R1T,none
,179,CjkNavy908,3/7/2024,PA,,Yes,Undecided,R1T,Genesis GV70
,180,fbitz777,3/7/2024,PA,,Yes,Undecided,R1T,
,181,redantpile,3/7/2024,TX,,Yes,Yes,R1S,ford edge
,182,JediKnight ,3/7/2024,CA,,No,No,,BMW iX 
,183,rraj2k81,3/7/2024,Canada - Ontario,,No,Undecided,,Tesla Model S
,184,BlueBlur,3/7/2024,VA,,No,Undecided,,xterra
,185,nitsy,3/7/2024,IA,,Yes,Undecided,R1S,
,186,jimmmbo,3/7/2024,CA,,Yes,Undecided,R1T,
,187,TexasB,3/7/2024,TX,,Yes,Yes,R1S,
,188,thaddeusf,3/7/2024,TX,,Yes,Yes,R1S,"Tesla Model Y, Model S"
,189,Carscott,3/7/2024,Canada - Ontario,,No,Undecided,Both,"18 Honda Odyssey, '12 Toyota Prius V"
,190,Leo ,3/7/2024,WA,,Yes,Yes,R1S,"Range Rover Evoque, Infiniti G37X"
,191,lemonpledge,3/7/2024,AZ,,Yes,Yes,R1S,Subaru Crosstrek
,192,Stefanb,3/7/2024,GA,,No,Yes,R1S,"BMW X7 M60i, BMW X1"
,193,MARKK,3/7/2024,NY,,Yes,Yes,R1T,Tesla Model 3
